id,date,days_from_target,x_s,UTM_E,UTM_N
usa_NC_0045_0007,30-Dec-2023 15:41:22,1.34627314814815,2246.27756721962,433204.645013706,4002293.90341441
usa_NC_0045_0006,30-Dec-2023 15:41:22,1.34627314814815,2255.10956788729,433222.969252768,4002247.27449698
usa_NC_0045_0005,30-Dec-2023 15:41:22,1.34627314814815,2265.98942172339,433243.250704083,4002201.30178419
usa_NC_0045_0004,30-Dec-2023 15:41:22,1.34627314814815,2278.44498845247,433265.05338957,4002155.7575959
usa_NC_0045_0003,30-Dec-2023 15:41:22,1.34627314814815,2291.76841032786,433287.683166418,4002110.50326576
usa_NC_0045_0002,30-Dec-2023 15:41:22,1.34627314814815,2302.89539651869,433308.214409028,4002064.5416966
usa_NC_0045_0001,30-Dec-2023 15:41:22,1.34627314814815,2312.54115537121,433327.330653781,4002018.10214565
usa_NC_0044_0140,30-Dec-2023 15:41:22,1.34627314814815,2320.42608570368,433344.76564264,4001971.0901766
usa_NC_0044_0139,30-Dec-2023 15:41:22,1.34627314814815,2326.83308739136,433360.790024412,4001923.59508695
usa_NC_0044_0138,30-Dec-2023 15:41:22,1.34627314814815,2331.64889606647,433375.296317792,4001875.57673033
usa_NC_0044_0137,30-Dec-2023 15:41:22,1.34627314814815,2336.46139531547,433389.799955862,4001827.55477286
usa_NC_0044_0136,30-Dec-2023 15:41:22,1.34627314814815,2341.99090463568,433405.013576888,4001779.63891883
usa_NC_0044_0135,30-Dec-2023 15:41:22,1.34627314814815,2348.29678864805,433420.916815026,4001732.23404253
usa_NC_0044_0134,30-Dec-2023 15:41:22,1.34627314814815,2354.51779273172,433436.764791251,4001684.67254903
usa_NC_0044_0133,30-Dec-2023 15:41:22,1.34627314814815,2362.60687151568,433454.43431007,4001637.52873691
usa_NC_0044_0132,30-Dec-2023 15:41:22,1.34627314814815,2371.54668324793,433472.914419837,4001590.66997732
usa_NC_0044_0131,30-Dec-2023 15:41:22,1.34627314814815,2380.88049705189,433491.768319544,4001543.95134725
usa_NC_0044_0130,30-Dec-2023 15:41:22,1.34627314814815,2391.48704503786,433511.832327267,4001497.67203943
usa_NC_0044_0129,30-Dec-2023 15:41:22,1.34627314814815,2400.64106768425,433530.511070168,4001450.91242976
usa_NC_0044_0128,30-Dec-2023 15:41:22,1.34627314814815,2409.31898980237,433548.735135529,4001403.99850861
usa_NC_0044_0127,30-Dec-2023 15:41:22,1.34627314814815,2416.80713681705,433565.826198219,4001356.682767
usa_NC_0044_0126,30-Dec-2023 15:41:22,1.34627314814815,2423.0487051003,433581.731485365,4001308.9394137
usa_NC_0044_0125,30-Dec-2023 15:41:22,1.34627314814815,2429.74402034948,433598.068399421,4001261.35164871
usa_NC_0044_0124,30-Dec-2023 15:41:22,1.34627314814815,2436.68405486225,433614.637863324,4001213.84899525
usa_NC_0044_0123,30-Dec-2023 15:41:22,1.34627314814815,2444.60600371052,433632.139785688,4001166.69098282
usa_NC_0044_0122,30-Dec-2023 15:41:22,1.34627314814815,2452.93204438721,433650.021833423,4001119.69288618
usa_NC_0044_0121,30-Dec-2023 15:41:22,1.34627314814815,2462.58612656997,433669.158893603,4001073.19164358
usa_NC_0044_0120,30-Dec-2023 15:41:22,1.34627314814815,2472.01566067387,433688.081397963,4001026.61818039
usa_NC_0044_0119,30-Dec-2023 15:41:22,1.34627314814815,2480.16924632385,433705.795494554,4000979.58048287
usa_NC_0044_0118,30-Dec-2023 15:41:22,1.34627314814815,2488.06976549152,433723.269461968,4000932.45300519
usa_NC_0044_0117,30-Dec-2023 15:41:22,1.34627314814815,2495.48085020791,433740.27947999,4000885.14956872
usa_NC_0044_0116,30-Dec-2023 15:41:22,1.34627314814815,2504.70812204761,433759.01077708,4000838.50077147
usa_NC_0044_0115,30-Dec-2023 15:41:22,1.34627314814815,2515.00695500756,433778.756306062,4000792.24488562
usa_NC_0044_0114,30-Dec-2023 15:41:22,1.34627314814815,2524.55859008518,433797.792763342,4000745.72427836
usa_NC_0044_0113,30-Dec-2023 15:41:22,1.34627314814815,2532.4708162993,433815.276221359,4000698.60905082
usa_NC_0044_0112,30-Dec-2023 15:41:22,1.34627314814815,2540.18150676232,433832.568929351,4000651.41990861
usa_NC_0044_0111,30-Dec-2023 15:41:22,1.34627314814815,2549.70535905083,433851.57706564,4000604.89924603
usa_NC_0044_0110,30-Dec-2023 15:41:22,1.34627314814815,2561.20515248054,433872.452890655,4000559.11580804
usa_NC_0044_0109,30-Dec-2023 15:41:22,1.34627314814815,2572.9118675981,433893.522095323,4000513.42061118
usa_NC_0044_0108,30-Dec-2023 15:41:22,1.34627314814815,2582.93970063106,433912.999659072,4000467.12272731
usa_NC_0044_0107,30-Dec-2023 15:41:22,1.34627314814815,2590.1598408441,433929.824731667,4000419.77037819
usa_NC_0044_0106,30-Dec-2023 15:41:22,1.34627314814815,2596.64515898044,433945.957811091,4000372.13099786
usa_NC_0044_0105,30-Dec-2023 15:41:22,1.34627314814815,2603.10056488939,433962.065146038,4000324.46780119
usa_NC_0044_0104,30-Dec-2023 15:41:22,1.34627314814815,2610.6310725385,433979.192734413,4000277.18545079
usa_NC_0044_0103,30-Dec-2023 15:41:22,1.34627314814815,2619.3639205671,433997.467019286,4000230.30051629
usa_NC_0044_0102,30-Dec-2023 15:41:22,1.34627314814815,2628.51141831008,434016.133746627,4000183.56773838
