id,date,x_s,UTM_E,UTM_N
usa_NC_0048_0141,01-Jan-1857,143.734702656383,425422.766764336,4030507.40580199
usa_NC_0048_0140,01-Jan-1857,144.362782153435,425433.176121201,4030458.51877342
usa_NC_0048_0139,01-Jan-1857,88.0723914745013,425387.588646051,4030399.3883141
usa_NC_0048_0138,01-Jan-1857,88.7973020957343,425398.091487676,4030350.52761195
usa_NC_0048_0137,01-Jan-1857,89.5279651259762,425408.600089162,4030301.66744162
usa_NC_0048_0136,01-Jan-1857,91.3016442852399,425420.135027919,4030252.99392897
usa_NC_0048_0135,01-Jan-1857,150.853450267685,425488.52078334,4030214.67728172
usa_NC_0048_0134,01-Jan-1857,151.217600648071,425498.671110999,4030165.73962045
usa_NC_0048_0133,01-Jan-1857,151.561712455149,425508.801793297,4030116.79800888
usa_NC_0048_0132,01-Jan-1857,151.472019813768,425517.369567489,4030073.46393569
usa_NC_0048_0131,01-Jan-1857,150.627502275023,425527.466766221,4030018.62394631
usa_NC_0048_0130,01-Jan-1857,149.873286607579,425536.516727579,4029969.48556242
usa_NC_0048_0129,01-Jan-1857,149.15968015526,425545.60665195,4029920.35443003
usa_NC_0048_0128,01-Jan-1857,148.394777362089,425554.646089157,4029871.21417322
usa_NC_0048_0127,01-Jan-1857,147.657042875363,425563.712264511,4029822.07875698
usa_NC_0048_0126,01-Jan-1857,148.343205422071,425574.179921431,4029773.19638887
usa_NC_0048_0125,01-Jan-1857,149.335095637331,425584.948600594,4029724.36781554
usa_NC_0048_0124,01-Jan-1857,150.287227438726,425595.678283519,4029675.5314945
usa_NC_0048_0123,01-Jan-1857,150.665425053131,425605.843152959,4029626.59274809
usa_NC_0048_0122,01-Jan-1857,151.064345370376,425616.028527317,4029577.65714174
usa_NC_0048_0121,01-Jan-1857,151.386589095629,425626.138525804,4029528.70744013
usa_NC_0048_0120,01-Jan-1857,151.746032329093,425636.285249556,4029479.76379213
usa_NC_0048_0119,01-Jan-1857,152.09632778013,425646.423071507,4029430.81800811
usa_NC_0048_0118,01-Jan-1857,152.442050187294,425656.556494548,4029381.87090023
usa_NC_0048_0117,01-Jan-1857,152.866141123292,425666.76718217,4029332.93707028
usa_NC_0048_0116,01-Jan-1857,152.064363709025,425675.770981647,4029283.78697543
usa_NC_0048_0115,01-Jan-1857,150.326760181695,425683.853357766,4029234.47221818
usa_NC_0048_0114,01-Jan-1857,148.699626761806,425692.044469695,4029185.17706933
