id,date_init,x_init,UTM_E_init,UTM_N_init,date_now,x_now,UTM_E_now,UTM_N_now,dx
usa_NC_0032_0145,01-Jan-1852,3436.17031915013,453804.251808116,3905278.16222166,08-Dec-2019,2941.79791391,453293.289254722,3905312.27496165,-494.37240524013
usa_NC_0032_0146,01-Jan-1852,3449.88837002154,453808.331279928,3905327.75446395,08-Dec-2019,2963.62597875204,453305.900928423,3905360.55677922,-486.2623912695
usa_NC_0032_0147,01-Jan-1852,3462.65796226492,453811.398823559,3905377.57049619,08-Dec-2019,2984.72971410222,453317.632963321,3905409.54416135,-477.9282481627
usa_NC_0032_0148,01-Jan-1852,3475.42955329255,453814.447793892,3905427.48967656,08-Dec-2019,3003.50009779997,453326.871522774,3905459.10201344,-471.92945549258
usa_NC_0032_0149,01-Jan-1852,3486.58095144028,453815.823531664,3905477.5139941,08-Dec-2019,3008.76995420637,453322.162623881,3905509.56080559,-477.81099723391
usa_NC_0032_0150,01-Jan-1872,3399.89413307167,453716.113875485,3905534.10881123,08-Dec-2019,3041.9541200294,453346.294239379,3905558.14621438,-357.94001304227
usa_NC_0032_0151,01-Jan-1872,3414.83613919928,453721.404358297,3905583.88692301,08-Dec-2019,3062.6987807668,453357.573996068,3905607.56449721,-352.13735843248
usa_NC_0032_0152,01-Jan-1852,3526.40817886604,453826.535279604,3905627.15902725,08-Dec-2019,3084.45928220762,453369.90362947,3905656.91295297,-441.94889665842
usa_NC_0032_0153,01-Jan-1872,3444.91756341828,453732.189569013,3905683.42848192,08-Dec-2019,3104.96423339466,453380.936299916,3905706.34443595,-339.95333002362
usa_NC_0032_0154,01-Jan-1852,3556.33120916756,453837.160288889,3905726.69396098,08-Dec-2019,3115.36720918597,453381.531316437,3905756.45634432,-440.96399998159
usa_NC_0032_0155,01-Jan-1872,3482.89081176062,453751.129570389,3905782.43483287,08-Dec-2019,3123.05807770926,453379.323919203,3905806.75185872,-359.83273405136
usa_NC_0032_0156,01-Jan-1872,3519.46377551148,453778.771711491,3905830.74634041,08-Dec-2019,3144.57370533936,453391.401362062,3905856.11270364,-374.89007017212
usa_NC_0032_0157,01-Jan-1852,3596.54829874212,453848.275571866,3905876.30914077,08-Dec-2019,3165.55960479386,453402.931745157,3905905.50787383,-430.98869394826
usa_NC_0032_0158,01-Jan-1872,3540.63153456927,453780.348153343,3905930.88283818,08-Dec-2019,3185.74713002336,453413.63744205,3905954.95573212,-354.88440454591
usa_NC_0032_0159,01-Jan-1872,3550.19189339497,453780.079561801,3905981.01642984,08-Dec-2019,3205.35613255939,453423.747941058,3906004.42980335,-344.83576083558
usa_NC_0032_0160,01-Jan-1852,3642.87972677529,453865.710737463,3906025.50062071,08-Dec-2019,3225.43326481274,453434.342599881,3906053.86996823,-417.44646196255
usa_NC_0032_0161,01-Jan-1852,3651.37005860883,453864.33740954,3906075.70204837,08-Dec-2019,3243.10366805247,453442.450431967,3906103.47286317,-408.26639055636
usa_NC_0032_0162,01-Jan-1852,3656.71701444185,453859.715702366,3906126.11796272,08-Dec-2019,3262.26533175244,453452.099428202,3906152.97355872,-394.45168268941
usa_NC_0032_0163,01-Jan-1852,3665.38955916982,453858.530444244,3906176.30810741,08-Dec-2019,3285.0418268131,453465.484114164,3906202.22706593,-380.34773235672
